iter	Logloss
0	0.5943600705
1	0.5449293999
2	0.5185025109
3	0.5016603676
4	0.4904556275
5	0.4829795969
6	0.4788713064
7	0.4748492498
8	0.4714685184
9	0.4692102279
10	0.4666604802
11	0.464935807
12	0.4632246918
13	0.4620233954
14	0.4609118101
15	0.4593037979
16	0.4584943417
17	0.4577096518
18	0.4569300293
19	0.4563061904
20	0.4556512913
21	0.4548509556
22	0.4540170495
23	0.4533634458
24	0.4529236285
25	0.4523103476
26	0.451797279
27	0.4514395747
28	0.4508256319
29	0.4504379491
30	0.4499304286
31	0.4495645964
32	0.4492885482
33	0.4488894
34	0.4486148632
35	0.4483607597
36	0.4481658157
37	0.4479934176
38	0.4476478429
39	0.4473951143
40	0.44705448
41	0.4468282649
42	0.4464143452
43	0.4460821766
44	0.4457678901
45	0.4455095189
46	0.4451809344
47	0.4449511618
48	0.4447533648
49	0.4444227448
50	0.4441816264
51	0.4440182414
52	0.4438106424
53	0.443640073
54	0.4434175573
55	0.4432009173
56	0.443020391
57	0.4427307245
58	0.4425158294
59	0.4421977897
60	0.4420413907
61	0.4418399939
62	0.4416105202
63	0.4414024923
64	0.4412023087
65	0.4409672095
66	0.4408060365
67	0.4406043679
68	0.440406478
69	0.4402492166
70	0.4400463953
71	0.4398109339
72	0.4395893445
73	0.4393537263
74	0.4391368973
75	0.4389607995
76	0.4387618036
77	0.4385757617
78	0.4383529316
79	0.4381782968
80	0.4380099025
81	0.4378783621
82	0.4376873117
83	0.4374935189
84	0.437328221
85	0.4371749467
86	0.436981572
87	0.4368209318
88	0.4366658527
89	0.4364595134
90	0.4363514161
91	0.4362037376
92	0.4359400195
93	0.4357918661
94	0.4356485539
95	0.4355148052
96	0.4353997461
97	0.4352324973
98	0.4350548743
99	0.4348850182
100	0.4347748856
101	0.4345946645
102	0.434443772
103	0.4342456932
104	0.4340436243
105	0.4338683796
106	0.4337217742
107	0.4335769871
108	0.4334414599
109	0.4332763017
110	0.4331536072
111	0.4330001867
112	0.4328217774
113	0.4326921651
114	0.4325653939
115	0.4324123973
116	0.4322539686
117	0.4321142622
118	0.4319943862
119	0.4318601948
120	0.431724697
121	0.4315794566
122	0.4314760348
123	0.431328575
124	0.4311560263
125	0.4310117464
126	0.4308555131
127	0.4307908182
128	0.4307716626
129	0.4306290826
130	0.4306214637
131	0.4304597632
132	0.4302801409
133	0.4301007946
134	0.4299887384
135	0.4298336851
136	0.4296938997
137	0.4295624542
138	0.4294221902
139	0.4293123582
140	0.429175151
141	0.4290061248
142	0.4288924337
143	0.428780097
144	0.4286467064
145	0.4285274092
146	0.4284173039
147	0.4282838131
148	0.4281480263
149	0.4280205836
