iter	Passed	Remaining
0	21	3130
1	35	2635
2	48	2395
3	61	2229
4	74	2169
5	86	2083
6	99	2025
7	111	1982
8	125	1959
9	136	1916
10	148	1882
11	161	1856
12	174	1843
13	187	1819
14	199	1792
15	211	1769
16	225	1763
17	239	1752
18	251	1732
19	270	1756
20	288	1775
21	306	1781
22	326	1804
23	344	1810
24	360	1802
25	374	1787
26	389	1775
27	404	1761
28	417	1740
29	430	1720
30	443	1704
31	457	1688
32	471	1673
33	485	1656
34	498	1637
35	517	1639
36	531	1624
37	545	1606
38	558	1588
39	572	1573
40	586	1558
41	601	1547
42	615	1531
43	626	1509
44	639	1492
45	653	1478
46	668	1465
47	682	1449
48	694	1432
49	708	1416
50	724	1405
51	738	1391
52	752	1376
53	766	1362
54	781	1349
55	798	1340
56	811	1323
57	822	1304
58	836	1289
59	848	1272
60	860	1254
61	873	1239
62	889	1228
63	904	1215
64	926	1212
65	943	1200
66	956	1184
67	968	1168
68	981	1152
69	995	1137
70	1010	1124
71	1031	1117
72	1051	1109
73	1070	1099
74	1084	1084
75	1099	1070
76	1122	1064
77	1136	1048
78	1149	1033
79	1163	1018
80	1177	1003
81	1191	987
82	1204	972
83	1217	956
84	1231	941
85	1245	926
86	1257	910
87	1269	894
88	1282	879
89	1296	864
90	1309	849
91	1331	839
92	1346	825
93	1360	810
94	1375	796
95	1389	781
96	1404	767
97	1417	752
98	1430	736
99	1442	721
100	1454	705
101	1467	690
102	1480	675
103	1494	660
104	1509	646
105	1526	633
106	1541	619
107	1556	605
108	1570	590
109	1584	576
110	1598	561
111	1612	547
112	1624	532
113	1637	517
114	1648	501
115	1661	486
116	1674	472
117	1688	457
118	1701	443
119	1719	429
120	1740	417
121	1758	403
122	1773	389
123	1788	374
124	1808	361
125	1831	348
126	1852	335
127	1867	320
128	1879	306
129	1894	291
130	1905	276
131	1918	261
132	1932	247
133	1952	233
134	1965	218
135	1979	203
136	1991	188
137	2003	174
138	2018	159
139	2036	145
140	2049	130
141	2061	116
142	2072	101
143	2085	86
144	2098	72
145	2110	57
146	2124	43
147	2141	28
148	2157	14
149	2170	0
